Change Component Footprint: Designator=J2 Old Footprint=SHDRRA4W45P0X250_1X4_1240X790X510P New Footprint=653104124022
Change Component Comment : Designator=R6 Old Comment=ERA-6VEB3000V New Comment=ERA-6VEB2201V
Change Component Library : Designator=C1 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=C2 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=C3 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=C4 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=C5 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=C6 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=C7 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=C8 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=C9 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=C10 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=C11 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=C12 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=C13 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=C14 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=C15 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=C16 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=C17 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=C18 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=C19 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=C20 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=C21 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=C22 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=D1 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=D2 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=D3 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=DC1 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=IC1 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=IC2 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=IC3 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=IC4 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=J1 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=J3 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=J4 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=J5 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=J6 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=J7 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=J8 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=J9 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=J10 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=J11 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=L1 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=L2 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=LED1 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=LED2 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=LED3 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=LED4 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=LED5 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=LED6 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=Q1 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=Q2 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=Q3 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=Q4 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=Q5 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R1 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R2 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R3 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R4 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R5 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R6 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R7 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R8 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R9 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R10 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R11 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R12 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R13 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R14 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R15 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R16 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R17 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R18 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R19 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R20 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R21 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R22 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R23 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R24 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R25 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R26 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R27 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R28 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R29 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R30 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R31 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=R32 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=RN1 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=S1 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=S2 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=S3 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=S4 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=S5 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=S6 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=S7 Old Library=* New Library=SamacSys.SchLib
Change Component Library : Designator=Y1 Old Library=* New Library=SamacSys.SchLib
Added Pin To Net: NetName=V_SS_1 Pin=J2-MP1
Added Pin To Net: NetName=V_SS_1 Pin=J2-MP2
